"LOG_ID","START_TIME","SCENARIO","RUN","NO_OF_CALLS","STMT","START_DB_TIME","START_SESSION_UGA_MEMORY_MAX","START_SESSION_PGA_MEMORY_MAX","START_MLE_TOTAL_MEMORY_IN_USE","START_JAVA_SESSION_HEAP_USED_SIZE_MAX","END_TIME","END_DB_TIME","END_SESSION_UGA_MEMORY_MAX","END_SESSION_PGA_MEMORY_MAX","END_MLE_TOTAL_MEMORY_IN_USE","END_JAVA_SESSION_HEAP_USED_SIZE_MAX","ERROR"
45,11.08.2024 08:15:39.414271000,"to_epoch_100k plsql",1,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_plsql(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",3,660264,2431328,0,0,11.08.2024 08:15:40.249837000,3,660264,2496864,0,0,""
46,11.08.2024 08:15:43.477278000,"to_epoch_100k plsql",2,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_plsql(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",2,594784,2365792,0,0,11.08.2024 08:15:44.256850000,2,660264,2431328,0,0,""
47,11.08.2024 08:15:47.328344000,"to_epoch_100k plsql",3,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_plsql(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",4,594784,2365792,0,0,11.08.2024 08:15:48.106582000,4,660264,2431328,0,0,""
48,11.08.2024 08:15:51.210380000,"to_epoch_100k plsql",4,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_plsql(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",2,594784,2365792,0,0,11.08.2024 08:15:51.986601000,2,660264,2431328,0,0,""
49,11.08.2024 08:15:55.138266000,"to_epoch_100k plsql",5,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_plsql(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",3,594784,2365792,0,0,11.08.2024 08:15:55.914598000,3,660264,2431328,0,0,""
50,11.08.2024 08:15:59.553752000,"to_epoch_100k java",1,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_java(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",57,725768,20912480,0,991232,11.08.2024 08:16:41.973124000,57,725768,20912480,0,1427456,""
51,11.08.2024 08:16:45.587428000,"to_epoch_100k java",2,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_java(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",55,725768,20978016,0,991232,11.08.2024 08:17:26.967870000,55,725768,20978016,0,1431552,""
52,11.08.2024 08:17:30.581309000,"to_epoch_100k java",3,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_java(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",51,725768,20978016,0,991232,11.08.2024 08:18:11.798453000,51,725768,20978016,0,1431552,""
53,11.08.2024 08:18:15.426784000,"to_epoch_100k java",4,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_java(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",51,725768,20978016,0,991232,11.08.2024 08:18:57.475496000,51,725768,20978016,0,1431552,""
54,11.08.2024 08:19:01.059581000,"to_epoch_100k java",5,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_java(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",52,725768,20978016,0,991232,11.08.2024 08:19:43.308894000,52,725768,20978016,0,1431552,""
55,11.08.2024 08:19:46.511393000,"to_epoch_100k djs",1,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_djs(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",15,1366480,18049376,29970316,0,11.08.2024 08:26:28.219203000,15,1366480,18049376,28485472,0,""
56,11.08.2024 08:26:32.121583000,"to_epoch_100k djs",2,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_djs(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",11,1366480,18049376,29970316,0,11.08.2024 08:33:11.368832000,11,1366480,18049376,31255088,0,""
57,11.08.2024 08:33:15.910916000,"to_epoch_100k djs",3,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_djs(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",9,1366480,17918304,29970316,0,11.08.2024 08:39:51.617004000,9,1366480,17918304,27324984,0,""
58,11.08.2024 08:39:55.334511000,"to_epoch_100k djs",4,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_djs(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",11,1366480,17918304,29970316,0,11.08.2024 08:46:30.927385000,11,1366480,17918304,29778376,0,""
59,11.08.2024 08:46:34.763584000,"to_epoch_100k djs",5,100000,"begin
   for i in 1..100000
   loop
      declare l_result integer; begin l_result := to_epoch_djs(timestamp '2023-11-18 00:00:00'); end;
   end loop;
end;",10,1366480,17918304,29970316,0,11.08.2024 08:53:11.650108000,10,1366480,17918304,29568120,0,""
